	Date	SHA	MergeDB	Mapping ID	Expansion	Metric	Expanded Tuples	% to crossproduct	1-1 Mappings	Synthetic Mappings	Hub Re-Computation	Uncertain Mappings	Unique Records DB1	Unique Records DB2	Mutual Records	Overlap in %	Runtime
10	2024-07-26 15:30:17.026098	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	2	3	3	0	0.0%	0.0052
11	2024-07-26 15:30:29.304860	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-term_equality	iterative_anchor_expansion	term_equality	1	6.25%	4	4	1	0	3	3	0	0.0%	0.0048
12	2024-07-26 15:30:29.304860	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	2	3	3	0	0.0%	0.006
13	2024-07-26 15:42:42.172725	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-term_equality	iterative_anchor_expansion	term_equality	1	6.25%	4	4	1	0	3	3	0	0.0%	0.0026
14	2024-07-26 15:42:50.108134	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	2	3	3	0	0.0%	0.0054
15	2024-07-26 15:43:24.740799	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	2	3	3	0	0.0%	0.0053
16	2024-07-26 15:48:47.037820	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	1	0	0	3	100.0%	0.0042
17	2024-07-26 15:50:34.029187	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	1	0	0	3	100.0%	0.0054
18	2024-07-26 15:51:17.957670	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	1	0	0	3	100.0%	0.0041
19	2024-07-29 12:45:48.326590	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Doublette_Paradox	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	10	62.5%	4	0	1	1	0	0	3	100.0%	0.0036
20	2024-07-29 12:46:49.783694	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Gocd_Websocket_Notifier	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	47747	2.61%	1007	15	1	77	379	1948	1692	42.1%	25.0611
21	2024-07-29 12:48:21.625187	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	2434	3.16%	281	9	1	4	22	12	387	91.92%	3.3131
22	2024-07-29 12:48:37.927448	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	2488	3.23%	281	9	1	4	22	12	387	91.92%	3.1325
23	2024-07-29 12:49:03.328001	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	1523	1.98%	281	10	1	72	105	95	304	60.32%	3.2852
24	2024-07-29 13:22:43.087902	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	3245	4.21%	281	9	39	6	23	13	386	91.47%	4.0711
25	2024-07-29 13:24:07.445826	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	2814	3.65%	281	9	39	5	23	13	386	91.47%	5.6844
26	2024-07-29 13:28:04.271019	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	3018	3.92%	281	9	39	6	24	14	385	91.02%	20.978
27	2024-07-29 13:29:50.009960	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	3003	3.9%	281	9	37	6	23	13	386	91.47%	7.1558
28	2024-07-29 13:59:56.968077	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	2466	3.2%	281	9	1	4	22	12	387	91.92%	3.2211
29	2024-07-29 14:02:41.840334	4775395eb04241ae9bb271e6b8fb15b7efc384c1	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	2478	3.22%	281	10	1	5	23	13	386	91.47%	3.1987
30	2024-08-01 10:37:06.461896	de62d40927926ce07e876d9e235ed3ec6ff4e249	Simple_Pointer	local_expansion-jaccard_min	iterative_anchor_expansion	jaccard_term_overlap	1521	1.98%	281	10	1	71	91	81	318	64.9%	5.3193
