<Simple_Pointer: void main(java.lang.String[])>/assign/1	1	<Simple_Pointer: void main(java.lang.String[])>/new Simple_Pointer/0	<Simple_Pointer: void main(java.lang.String[])>/$stack4	<Simple_Pointer: void main(java.lang.String[])>	8	10
<Simple_Pointer: void main(java.lang.String[])>/assign/1	new_var_14	<Simple_Pointer: void main(java.lang.String[])>/new Simple_Pointer/0	<Simple_Pointer: void main(java.lang.String[])>/$stack4	<Simple_Pointer: void main(java.lang.String[])>	new_var_36	1
<Simple_Pointer: void main(java.lang.String[])>/assign/3	5	<Simple_Pointer: void main(java.lang.String[])>/new java.io.BufferedReader/0	<Simple_Pointer: void main(java.lang.String[])>/$stack6	<Simple_Pointer: void main(java.lang.String[])>	9	10
<Simple_Pointer: void main(java.lang.String[])>/assign/3	new_var_29	<Simple_Pointer: void main(java.lang.String[])>/new java.io.BufferedReader/0	<Simple_Pointer: void main(java.lang.String[])>/$stack6	<Simple_Pointer: void main(java.lang.String[])>	new_var_37	1
<Simple_Pointer: void main(java.lang.String[])>/assign/4	6	<Simple_Pointer: void main(java.lang.String[])>/new java.io.InputStreamReader/0	<Simple_Pointer: void main(java.lang.String[])>/$stack7	<Simple_Pointer: void main(java.lang.String[])>	9	10
<Simple_Pointer: void main(java.lang.String[])>/assign/4	new_var_32	<Simple_Pointer: void main(java.lang.String[])>/new java.io.InputStreamReader/0	<Simple_Pointer: void main(java.lang.String[])>/$stack7	<Simple_Pointer: void main(java.lang.String[])>	new_var_37	1
<Simple_Pointer: void main(java.lang.String[])>/assign/6	12	<Simple_Pointer: void main(java.lang.String[])>/new java.lang.StringBuilder/0	<Simple_Pointer: void main(java.lang.String[])>/$stack9	<Simple_Pointer: void main(java.lang.String[])>	14	0
<Simple_Pointer: void test(int)>/assign/2	3	<Simple_Pointer: void test(int)>/new Cat/0	<Simple_Pointer: void test(int)>/$stack6	<Simple_Pointer: void test(int)>	26	10
<Simple_Pointer: void test(int)>/assign/2	new_var_18	<Simple_Pointer: void test(int)>/new Cat/0	new_var_39	<Simple_Pointer: void test(int)>	new_var_16	1
<Simple_Pointer: void test(int)>/assign/4	7	<Simple_Pointer: void test(int)>/new Dog/0	<Simple_Pointer: void test(int)>/$stack4	<Simple_Pointer: void test(int)>	28	10
<Simple_Pointer: void test(int)>/assign/4	new_var_34	<Simple_Pointer: void test(int)>/new Dog/0	<Simple_Pointer: void test(int)>/$stack5	<Simple_Pointer: void test(int)>	new_var_17	1
<Simple_Pointer: void test(int)>/assign/7	13	<Simple_Pointer: void test(int)>/new Cat/1	<Simple_Pointer: void test(int)>/$stack5	<Simple_Pointer: void test(int)>	32	10
<Simple_Pointer: void test(int)>/assign/7	13	<Simple_Pointer: void test(int)>/new Cat/1	<Simple_Pointer: void test(int)>/$stack6	<Simple_Pointer: void test(int)>	new_var_20	1
new_var_42	15	new_var_43	<Simple_Pointer: void test(int)>/$stack4	<Simple_Pointer: void test(int)>	new_var_21	1
