<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>/@parameter0	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>/name#_0	<simplejavacalculator.Calculator$BiOperatorModes: simplejavacalculator.Calculator$BiOperatorModes valueOf(java.lang.String)>
<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>/@this	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>/this#_0	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>/@parameter0	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>/l1#_0	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>/@parameter1	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>/l2#_0	<simplejavacalculator.Calculator$BiOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.BufferedImageCustom: void <init>()>/@this	<simplejavacalculator.BufferedImageCustom: void <init>()>/this#_0	<simplejavacalculator.BufferedImageCustom: void <init>()>
<simplejavacalculator.BufferedImageCustom: java.awt.Image imageReturn()>/@this	<simplejavacalculator.BufferedImageCustom: java.awt.Image imageReturn()>/this#_0	<simplejavacalculator.BufferedImageCustom: java.awt.Image imageReturn()>
<simplejavacalculator.SimpleJavaCalculator: void <init>()>/@this	<simplejavacalculator.SimpleJavaCalculator: void <init>()>/this#_0	<simplejavacalculator.SimpleJavaCalculator: void <init>()>
<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>/@parameter0	<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>/args#_0	<simplejavacalculator.SimpleJavaCalculator: void main(java.lang.String[])>
<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes valueOf(java.lang.String)>/@parameter0	<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes valueOf(java.lang.String)>/name#_0	<simplejavacalculator.Calculator$MonoOperatorModes: simplejavacalculator.Calculator$MonoOperatorModes valueOf(java.lang.String)>
<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>/@this	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>/this#_0	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>/@parameter0	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>/l1#_0	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>/@parameter1	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>/l2#_0	<simplejavacalculator.Calculator$MonoOperatorModes: void <init>(java.lang.String,int)>
<simplejavacalculator.UI: void <init>()>/@this	<simplejavacalculator.UI: void <init>()>/this#_0	<simplejavacalculator.UI: void <init>()>
<simplejavacalculator.UI: void <init>()>/i#_89	<simplejavacalculator.UI: void <init>()>/i_$$A_1#_90	<simplejavacalculator.UI: void <init>()>
<simplejavacalculator.UI: void <init>()>/i_$$A_2#_89	<simplejavacalculator.UI: void <init>()>/i_$$A_1#_90	<simplejavacalculator.UI: void <init>()>
<simplejavacalculator.UI: void init()>/@this	<simplejavacalculator.UI: void init()>/this#_0	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void init()>/i#_126	<simplejavacalculator.UI: void init()>/i_$$A_1#_127	<simplejavacalculator.UI: void init()>
<simplejavacalculator.UI: void init()>/i_$$A_2#_126	<simplejavacalculator.UI: void init()>/i_$$A_1#_127	<simplejavacalculator.UI: void init()>
