/tmp/xml-file16041130029686359784/plugin.xml	1	-1		go-plugin	go-plugin
/tmp/xml-file16041130029686359784/plugin.xml	2	1		about	about
/tmp/xml-file16041130029686359784/plugin.xml	3	2		name	name
/tmp/xml-file16041130029686359784/plugin.xml	4	2		version	version
/tmp/xml-file16041130029686359784/plugin.xml	5	2		target-go-version	target-go-version
/tmp/xml-file16041130029686359784/plugin.xml	6	2		description	description
/tmp/xml-file16041130029686359784/plugin.xml	7	2		vendor	vendor
/tmp/xml-file16041130029686359784/plugin.xml	8	7		name	name
/tmp/xml-file16041130029686359784/plugin.xml	9	7		url	url
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	1	-1	http://maven.apache.org/POM/4.0.0	project	project
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	2	1	http://maven.apache.org/POM/4.0.0	modelVersion	modelVersion
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	3	1	http://maven.apache.org/POM/4.0.0	groupId	groupId
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	4	1	http://maven.apache.org/POM/4.0.0	artifactId	artifactId
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	5	1	http://maven.apache.org/POM/4.0.0	version	version
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	6	1	http://maven.apache.org/POM/4.0.0	packaging	packaging
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	7	1	http://maven.apache.org/POM/4.0.0	properties	properties
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	8	7	http://maven.apache.org/POM/4.0.0	project.build.sourceEncoding	project.build.sourceEncoding
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	9	7	http://maven.apache.org/POM/4.0.0	go.version	go.version
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	10	1	http://maven.apache.org/POM/4.0.0	dependencies	dependencies
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	11	10	http://maven.apache.org/POM/4.0.0	dependency	dependency
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	12	11	http://maven.apache.org/POM/4.0.0	groupId	groupId
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	13	11	http://maven.apache.org/POM/4.0.0	artifactId	artifactId
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	14	11	http://maven.apache.org/POM/4.0.0	version	version
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	15	11	http://maven.apache.org/POM/4.0.0	scope	scope
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	16	10	http://maven.apache.org/POM/4.0.0	dependency	dependency
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	17	16	http://maven.apache.org/POM/4.0.0	groupId	groupId
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	18	16	http://maven.apache.org/POM/4.0.0	artifactId	artifactId
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	19	16	http://maven.apache.org/POM/4.0.0	version	version
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	20	10	http://maven.apache.org/POM/4.0.0	dependency	dependency
/tmp/xml-file9646008096921982215/meta-inf_maven_com.matt-richardson_gocd-websocket-notifier_pom.xml	21	20	http://maven.apache.org/POM/4.0.0	groupId	groupId
