,corr_pair,corr_metrics,CodeBertsim,CodeBertfake_pair,CodeBertfake_sim,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
23,"('AND58', 'AND66')",4,tensor(0.9992),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
24,"('AND58_tree', 'AND66_tree')",4,tensor(0.9998),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
25,"('AND59', 'AND57')",4,tensor(0.9992),,,0.826236559139785,,,0.8,,,0.92,,
26,"('AND59_tree', 'AND57_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
27,"('AND63', 'AND65')",4,tensor(0.9986),,,0.826236559139785,,,0.8,,,0.92,,
28,"('AND63_tree', 'AND65_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
29,"('AND64', 'AND63')",3,tensor(0.9976),"('AND64', 'ARG74_tree')",tensor(0.9977),0.826236559139785,,,0.8,,,0.92,,
30,"('AND64_tree', 'AND63_tree')",4,tensor(0.9993),,,0.9252071005917161,,,0.9,,,0.96,,
31,"('AND66', 'AND64')",4,tensor(0.9992),,,0.826236559139785,,,0.8,,,0.92,,
32,"('AND66_tree', 'AND64_tree')",4,tensor(0.9995),,,0.9252071005917161,,,0.9,,,0.96,,
33,"('AND68', 'AND69')",4,tensor(0.9997),,,0.826236559139785,,,0.8,,,0.92,,
34,"('AND68_tree', 'AND69_tree')",4,tensor(0.9998),,,0.9252071005917161,,,0.9,,,0.96,,
35,"('AND73', 'AND74')",4,tensor(0.9995),,,0.826236559139785,,,0.8,,,0.92,,
36,"('AND73_tree', 'AND74_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
37,"('AND74', 'AND82')",3,tensor(0.9987),"('LA333_0', 'AND82')",tensor(0.9989),0.5330841121495327,,,0.6,,,0.8133333333333334,,
38,"('AND74_tree', 'AND82_tree')",4,tensor(0.9995),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
39,"('AND76', 'AND77')",4,tensor(0.9992),,,0.826236559139785,,,0.8,,,0.92,,
40,"('AND76_tree', 'AND77_tree')",4,tensor(0.9996),,,0.9252071005917161,,,0.9,,,0.96,,
41,"('AND77', 'AND85')",4,tensor(0.9993),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
42,"('AND77_tree', 'AND85_tree')",3,tensor(0.9995),"('AND77_tree', 'ID72_tree')",tensor(0.9995),0.8062365591397851,,,0.8,,,0.9066666666666667,,
