,resource,nr_pairs,nr_fake_pairs,use_nr_sim,ALPHA,Equality_corr_pairs,Equality_percentage,Equality_runtime,ISUB_corr_pairs,ISUB_percentage,ISUB_runtime,JaroWinkler_corr_pairs,JaroWinkler_percentage,JaroWinkler_runtime,Levenshtein_corr_pairs,Levenshtein_percentage,Levenshtein_runtime,LCS_corr_pairs,LCS_percentage,LCS_runtime,QGram_corr_pairs,QGram_percentage,QGram_runtime,Dice_corr_pairs,Dice_percentage,Dice_runtime
34,rename_class,31127,4,True,0.6,2549,8.19,0.013,23515,75.55,0.6117,20758,66.69,0.3415,23537,75.62,1.6828,23309,74.88,1.6147,24042,77.24,0.3214,24510,78.74,0.1447
35,rename_class,31127,6,True,0.6,2364,7.59,0.0132,22610,72.64,0.6117,19569,62.87,0.3403,22721,72.99,1.6856,22417,72.02,1.6166,23320,74.92,0.3181,23810,76.49,0.1432
36,rename_method,61876,2,False,-,3008,4.86,0.0078,43373,70.1,0.6358,40052,64.73,0.353,42831,69.22,1.9883,42751,69.09,1.9395,43123,69.69,0.3354,43888,70.93,0.1476
37,rename_method,61876,4,False,-,2839,4.59,0.0071,39752,64.24,0.6319,35399,57.21,0.3414,39356,63.6,1.9353,38929,62.91,1.8806,39930,64.53,0.3194,40922,66.14,0.1414
38,rename_method,61876,6,False,-,2689,4.35,0.0071,37888,61.23,0.6259,32784,52.98,0.3364,37454,60.53,1.9084,36860,59.57,1.8526,38221,61.77,0.3129,39333,63.57,0.1384
39,rename_method,61876,2,True,0.95,6438,10.4,0.0141,44565,72.02,0.6393,41304,66.75,0.3551,44072,71.23,1.9674,44003,71.11,1.9214,44384,71.73,0.341,45278,73.18,0.1523
40,rename_method,61876,4,True,0.95,5528,8.93,0.0135,40866,66.04,0.6477,36578,59.12,0.3507,40551,65.54,1.9655,40118,64.84,1.9098,41105,66.43,0.3303,42185,68.18,0.1482
41,rename_method,61876,6,True,0.95,5041,8.15,0.0136,38943,62.94,0.643,33915,54.81,0.3487,38603,62.39,1.9401,38016,61.44,1.8787,39338,63.58,0.327,40519,65.48,0.1477
45,rename_method,61876,2,True,0.6,6438,10.4,0.0142,44232,71.48,0.6488,40862,66.04,0.3549,43748,70.7,1.9595,43650,70.54,1.9108,44090,71.26,0.3409,44893,72.55,0.1525
46,rename_method,61876,4,True,0.6,5528,8.93,0.0135,40446,65.37,0.6322,36126,58.38,0.3481,40145,64.88,1.9374,39695,64.15,1.8801,40741,65.84,0.3276,41746,67.47,0.1473
47,rename_method,61876,6,True,0.6,5041,8.15,0.0134,38471,62.17,0.6385,33478,54.1,0.3431,38118,61.6,1.916,37499,60.6,1.8589,38907,62.88,0.3216,40033,64.7,0.1445
