,corr_pair,corr_metrics,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
38,"('AND74_tree', 'AND82_tree')",0,0.8062365591397851,"('AND74_tree', 'AND80_tree')",0.8062365591397851,0.7135135135135136,"('AND74_tree', 'AND80_tree')",0.7351351351351352,0.9066666666666667,"('AND74_tree', 'AND80_tree')",0.9066666666666667
39,"('AND76', 'AND77')",3,0.826236559139785,,,0.7894736842105263,,,0.92,,
40,"('AND76_tree', 'AND77_tree')",3,0.9252071005917161,,,0.888157894736842,,,0.96,,
41,"('AND77', 'AND85')",3,0.5330841121495327,,,0.5376623376623376,,,0.8133333333333334,,
42,"('AND77_tree', 'AND85_tree')",3,0.8062365591397851,,,0.7168831168831169,,,0.9066666666666667,,
43,"('AND81', 'AND80')",3,0.826236559139785,,,0.79,,,0.92,,
44,"('AND81_tree', 'AND80_tree')",3,0.9252071005917161,,,0.88875,,,0.96,,
45,"('AND82', 'AND83')",3,0.826236559139785,,,0.7902439024390244,,,0.92,,
46,"('AND82_tree', 'AND83_tree')",3,0.9252071005917161,,,0.8890243902439025,,,0.96,,
47,"('AND84', 'AND83')",3,0.826236559139785,,,0.7903614457831325,,,0.92,,
48,"('AND84_tree', 'AND83_tree')",3,0.9252071005917161,,,0.8891566265060241,,,0.96,,
49,"('AND85', 'AND86')",3,0.826236559139785,,,0.7905882352941177,,,0.92,,
50,"('AND85_tree', 'AND86_tree')",3,0.9252071005917161,,,0.8894117647058825,,,0.96,,
51,"('AREA_HIGH', 'VERTICAL_WIDTH_HIGH')",3,0.17952928297755882,,,0.368421052631579,,,0.6201615148983569,,
52,"('AREA_LOW', 'VERTICAL_HEIGHT_LOW')",2,0.2554909560723514,,,0.3157894736842105,,,0.49605263157894736,"('CARAT64_tree', 'VERTICAL_HEIGHT_LOW')",0.5077276524644946
53,"('ARG60', 'ARG61')",3,0.826236559139785,,,0.7866666666666666,,,0.92,,
54,"('ARG60_tree', 'ARG61_tree')",3,0.9252071005917161,,,0.885,,,0.96,,
55,"('ARG61', 'ARG62')",3,0.826236559139785,,,0.7868852459016393,,,0.92,,
56,"('ARG61_tree', 'ARG62_tree')",3,0.9252071005917161,,,0.8852459016393442,,,0.96,,
57,"('ARG62', 'ARG64')",3,0.826236559139785,,,0.7741935483870969,,,0.92,,
58,"('ARG62_tree', 'ARG64_tree')",3,0.9252071005917161,,,0.8709677419354839,,,0.96,,
59,"('ARG64', 'ARG65')",1,0.826236559139785,"('ARG64', 'ARG62')",0.826236559139785,0.7875000000000001,,,0.92,"('ARG64', 'ARG62')",0.92
60,"('ARG64_tree', 'ARG65_tree')",1,0.9252071005917161,"('ARG64_tree', 'ARG66_tree')",0.9252071005917161,0.8859375,,,0.96,"('ARG64_tree', 'ARG66_tree')",0.96
61,"('ARG65', 'ARG66')",3,0.826236559139785,,,0.7876923076923078,,,0.92,,
62,"('ARG65_tree', 'ARG66_tree')",3,0.9252071005917161,,,0.8861538461538462,,,0.96,,
63,"('ARG66', 'ARG69')",3,0.826236559139785,,,0.7636363636363637,,,0.92,,
64,"('ARG66_tree', 'ARG69_tree')",0,0.9252071005917161,"('ARGS69_tree', 'ARG69_tree')",0.9666666666666667,0.8590909090909091,"('ARGS69_tree', 'ARG69_tree')",0.9090909090909091,0.96,"('ARGS69_tree', 'ARG69_tree')",0.977961432506887
65,"('ARG68', 'ARG69')",3,0.826236559139785,,,0.7882352941176471,,,0.92,,
66,"('ARG68_tree', 'ARG69_tree')",1,0.9252071005917161,"('ARG60_tree', 'ARG69_tree')",0.9252071005917161,0.886764705882353,,,0.96,"('ARG60_tree', 'ARG69_tree')",0.96
67,"('ARG69', 'ARG70')",1,0.5330841121495327,"('ARGS70_tree', 'ARG70')",0.7375,0.591304347826087,,,0.8133333333333334,"('ARGS70_tree', 'ARG70')",0.8677685950413223
68,"('ARG69_tree', 'ARG70_tree')",1,0.8062365591397851,"('ARG69_tree', 'ARG91_tree')",0.9152071005917161,0.7884057971014493,,,0.9066666666666667,"('ARG69_tree', 'ARG91_tree')",0.9533333333333333
69,"('ARG70', 'ARG72')",0,0.826236559139785,"('ARG74', 'ARG72')",0.826236559139785,0.7771428571428571,"('ARG74', 'ARG72')",0.7777777777777778,0.92,"('ARG74', 'ARG72')",0.92
70,"('ARG70_tree', 'ARG72_tree')",3,0.9252071005917161,,,0.8742857142857143,,,0.96,,
71,"('ARG71', 'ARG73')",3,0.826236559139785,,,0.7774647887323944,,,0.92,,
72,"('ARG71_tree', 'ARG73_tree')",3,0.9252071005917161,,,0.8746478873239437,,,0.96,,
73,"('ARG72', 'ARG71')",3,0.826236559139785,,,0.7887323943661972,,,0.92,,
74,"('ARG72', 'ARG73')",3,0.826236559139785,,,0.788888888888889,,,0.92,,
75,"('ARG72_tree', 'ARG71_tree')",3,0.9252071005917161,,,0.8873239436619719,,,0.96,,
