,resource,nr_pairs,nr_fake_pairs,use_nr_sim,ALPHA,Equality_corr_pairs,Equality_percentage,Equality_runtime,ISUB_corr_pairs,ISUB_percentage,ISUB_runtime,JaroWinkler_corr_pairs,JaroWinkler_percentage,JaroWinkler_runtime,Levenshtein_corr_pairs,Levenshtein_percentage,Levenshtein_runtime,LCS_corr_pairs,LCS_percentage,LCS_runtime,QGram_corr_pairs,QGram_percentage,QGram_runtime,Dice_corr_pairs,Dice_percentage,Dice_runtime
13,rename_variable,57098,4,False,1.0,2562,4.49,0.0067,17952,31.44,0.313,15715,27.52,0.1304,17404,30.48,0.3854,16990,29.76,0.4328,16540,28.97,0.1976,17474,30.6,0.0804
14,rename_variable,57098,6,False,1.0,2070,3.63,0.0067,15675,27.45,0.3099,13447,23.55,0.1295,15250,26.71,0.382,14782,25.89,0.4302,14870,26.04,0.1965,15756,27.59,0.0802
15,rename_variable,57098,2,True,0.95,11641,20.39,0.0171,29839,52.26,0.3318,27639,48.41,0.1438,29071,50.91,0.4008,28864,50.55,0.4501,27361,47.92,0.2143,28183,49.36,0.0928
16,rename_variable,57098,4,True,0.95,10281,18.01,0.0166,25069,43.91,0.3256,22840,40.0,0.1412,24598,43.08,0.3977,24217,42.41,0.4428,23839,41.75,0.2092,24734,43.32,0.0907
17,rename_variable,57098,6,True,0.95,9483,16.61,0.0164,22577,39.54,0.315,20346,35.63,0.1375,22234,38.94,0.3869,21781,38.15,0.4302,21936,38.42,0.2059,22800,39.93,0.089
21,rename_variable,57098,2,True,0.6,11641,20.39,0.0168,29675,51.97,0.3366,27378,47.95,0.142,29024,50.83,0.3943,28820,50.47,0.4417,27262,47.75,0.2107,28026,49.08,0.0909
22,rename_variable,57098,4,True,0.6,10281,18.01,0.0162,24947,43.69,0.3144,22616,39.61,0.1381,24573,43.04,0.3899,24170,42.33,0.4345,23756,41.61,0.2049,24602,43.09,0.0886
23,rename_variable,57098,6,True,0.6,9483,16.61,0.0161,22476,39.36,0.3134,20196,35.37,0.1375,22213,38.9,0.3885,21718,38.04,0.4315,21861,38.29,0.2033,22667,39.7,0.0877
24,rename_class,31127,2,False,1.0,1344,4.32,0.0077,24870,79.9,0.6107,22778,73.18,0.3474,24949,80.15,1.7204,24797,79.66,1.6518,25160,80.83,0.327,25521,81.99,0.1448
25,rename_class,31127,4,False,1.0,1318,4.23,0.0072,23404,75.19,0.6188,20795,66.81,0.3452,23551,75.66,1.7282,23346,75.0,1.6544,24007,77.13,0.32,24496,78.7,0.142
26,rename_class,31127,6,False,1.0,1303,4.19,0.0072,22541,72.42,0.6119,19623,63.04,0.3359,22775,73.17,1.6872,22481,72.22,1.6117,23317,74.91,0.3071,23843,76.6,0.1367
27,rename_class,31127,2,True,0.95,2937,9.44,0.0142,25256,81.14,0.6186,23193,74.51,0.3581,25359,81.47,1.7459,25227,81.05,1.6823,25579,82.18,0.3427,25951,83.37,0.1538
28,rename_class,31127,4,True,0.95,2549,8.19,0.0132,23736,76.26,0.6206,21148,67.94,0.3444,23900,76.78,1.7005,23701,76.14,1.6316,24364,78.27,0.3233,24848,79.83,0.1461
29,rename_class,31127,6,True,0.95,2364,7.59,0.0131,22857,73.43,0.6222,19967,64.15,0.3381,23109,74.24,1.6718,22825,73.33,1.603,23661,76.01,0.3153,24177,77.67,0.1426
33,rename_class,31127,2,True,0.6,2937,9.44,0.0138,25090,80.61,0.6054,22818,73.31,0.3489,25038,80.44,1.704,24864,79.88,1.6373,25307,81.3,0.3329,25659,82.43,0.1492
34,rename_class,31127,4,True,0.6,2549,8.19,0.013,23515,75.55,0.6117,20758,66.69,0.3415,23537,75.62,1.6828,23309,74.88,1.6147,24042,77.24,0.3214,24510,78.74,0.1447
35,rename_class,31127,6,True,0.6,2364,7.59,0.0132,22610,72.64,0.6117,19569,62.87,0.3403,22721,72.99,1.6856,22417,72.02,1.6166,23320,74.92,0.3181,23810,76.49,0.1432
36,rename_method,61876,2,False,1.0,3008,4.86,0.0078,43373,70.1,0.6358,40052,64.73,0.353,42831,69.22,1.9883,42751,69.09,1.9395,43123,69.69,0.3354,43888,70.93,0.1476
37,rename_method,61876,4,False,1.0,2839,4.59,0.0071,39752,64.24,0.6319,35399,57.21,0.3414,39356,63.6,1.9353,38929,62.91,1.8806,39930,64.53,0.3194,40922,66.14,0.1414
38,rename_method,61876,6,False,1.0,2689,4.35,0.0071,37888,61.23,0.6259,32784,52.98,0.3364,37454,60.53,1.9084,36860,59.57,1.8526,38221,61.77,0.3129,39333,63.57,0.1384
39,rename_method,61876,2,True,0.95,6438,10.4,0.0141,44565,72.02,0.6393,41304,66.75,0.3551,44072,71.23,1.9674,44003,71.11,1.9214,44384,71.73,0.341,45278,73.18,0.1523
40,rename_method,61876,4,True,0.95,5528,8.93,0.0135,40866,66.04,0.6477,36578,59.12,0.3507,40551,65.54,1.9655,40118,64.84,1.9098,41105,66.43,0.3303,42185,68.18,0.1482
41,rename_method,61876,6,True,0.95,5041,8.15,0.0136,38943,62.94,0.643,33915,54.81,0.3487,38603,62.39,1.9401,38016,61.44,1.8787,39338,63.58,0.327,40519,65.48,0.1477
45,rename_method,61876,2,True,0.6,6438,10.4,0.0142,44232,71.48,0.6488,40862,66.04,0.3549,43748,70.7,1.9595,43650,70.54,1.9108,44090,71.26,0.3409,44893,72.55,0.1525
46,rename_method,61876,4,True,0.6,5528,8.93,0.0135,40446,65.37,0.6322,36126,58.38,0.3481,40145,64.88,1.9374,39695,64.15,1.8801,40741,65.84,0.3276,41746,67.47,0.1473
47,rename_method,61876,6,True,0.6,5041,8.15,0.0134,38471,62.17,0.6385,33478,54.1,0.3431,38118,61.6,1.916,37499,60.6,1.8589,38907,62.88,0.3216,40033,64.7,0.1445
48,rename_attribute,131891,2,True,0.8,72625,55.06,0.0403,89391,67.78,1.5967,87664,66.47,0.3449,89432,67.81,2.9946,89287,67.7,13.6574,89138,67.58,0.7341,89565,67.91,0.3652
49,rename_attribute,131891,4,True,0.8,71737,54.39,0.039,86949,65.92,1.644,84980,64.43,0.4417,87075,66.02,4.1785,86848,65.85,13.8624,87066,66.01,0.7313,87559,66.39,0.365
50,rename_attribute,131891,6,True,0.8,70739,53.63,0.0389,85211,64.61,1.6773,83082,62.99,0.4726,85399,64.75,4.558,85091,64.52,14.0861,85507,64.83,0.7357,86027,65.23,0.3654
51,rename_variable,57098,2,True,0.8,11641,20.39,0.0197,29823,52.23,0.3639,27493,48.15,0.1589,29209,51.16,0.4402,29019,50.82,0.4946,27427,48.03,0.2417,28192,49.37,0.1029
52,rename_variable,57098,4,True,0.8,10281,18.01,0.0198,25071,43.91,0.3694,22734,39.82,0.159,24755,43.36,0.4437,24392,42.72,0.4977,23919,41.89,0.2445,24748,43.34,0.1032
53,rename_variable,57098,6,True,0.8,9483,16.61,0.0189,22579,39.54,0.3585,20257,35.48,0.1585,22386,39.21,0.4462,21927,38.4,0.4933,22019,38.56,0.2368,22807,39.94,0.1
54,rename_class,31127,2,True,0.8,2937,9.44,0.0158,25275,81.2,0.6716,23112,74.25,0.3903,25358,81.47,1.9075,25232,81.06,1.8323,25580,82.18,0.3754,25956,83.39,0.1715
55,rename_class,31127,4,True,0.8,2549,8.19,0.0151,23739,76.26,0.6849,21021,67.53,0.3801,23895,76.77,1.8759,23699,76.14,1.801,24356,78.25,0.3583,24840,79.8,0.1599
56,rename_class,31127,6,True,0.8,2364,7.59,0.0153,22862,73.45,0.6912,19813,63.65,0.3818,23098,74.21,1.8867,22823,73.32,1.8036,23651,75.98,0.3523,24152,77.59,0.158
57,rename_method,61876,2,True,0.8,6438,10.4,0.016,44593,72.07,0.705,41191,66.57,0.394,44161,71.37,2.1926,44103,71.28,2.1417,44450,71.84,0.3811,45318,73.24,0.1677
58,rename_method,61876,4,True,0.8,5528,8.93,0.0159,40875,66.06,0.7458,36427,58.87,0.4018,40622,65.65,2.2237,40193,64.96,2.1577,41155,66.51,0.3818,42204,68.21,0.1689
59,rename_method,61876,6,True,0.8,5041,8.15,0.0159,38918,62.9,0.7396,33732,54.52,0.3938,38647,62.46,2.1857,38037,61.47,2.1238,39359,63.61,0.3735,40528,65.5,0.1649
60,rename_attribute,131891,8,True,0.95,70344,53.33,0.0351,84415,64.0,1.5368,82390,62.47,0.4669,84545,64.1,4.5537,84197,63.84,12.8677,84764,64.27,0.6639,85323,64.69,0.3366
61,rename_attribute,131891,10,True,0.95,70210,53.23,0.0345,83937,63.64,1.51,81863,62.07,0.4675,84075,63.75,4.5988,83673,63.44,12.6263,84392,63.99,0.6489,84940,64.4,0.3277
62,rename_attribute,131891,12,True,0.95,69936,53.03,0.0339,83422,63.25,1.5036,81327,61.66,0.4873,83544,63.34,4.8282,83127,63.03,12.5305,83912,63.62,0.6395,84469,64.04,0.3234
63,rename_variable,57098,8,True,0.95,9027,15.81,0.0164,21050,36.87,0.3223,18808,32.94,0.1417,20828,36.48,0.3987,20327,35.6,0.4413,20710,36.27,0.2102,21611,37.85,0.0908
64,rename_variable,57098,10,True,0.95,8688,15.22,0.0163,20025,35.07,0.3279,17745,31.08,0.1408,19858,34.78,0.3966,19327,33.85,0.4396,19899,34.85,0.2088,20790,36.41,0.0899
65,rename_variable,57098,12,True,0.95,8462,14.82,0.016,19315,33.83,0.3135,17037,29.84,0.1369,19180,33.59,0.385,18609,32.59,0.4265,19308,33.82,0.2033,20201,35.38,0.088
66,rename_class,31127,8,True,0.95,2267,7.28,0.0134,22296,71.63,0.6252,19203,61.69,0.3477,22568,72.5,1.7304,22229,71.41,1.6506,23190,74.5,0.3187,23726,76.22,0.1452
67,rename_class,31127,10,True,0.95,2208,7.09,0.0134,21895,70.34,0.6357,18637,59.87,0.3448,22170,71.22,1.7138,21780,69.97,1.637,22869,73.47,0.3149,23418,75.23,0.1436
68,rename_class,31127,12,True,0.95,2155,6.92,0.0134,21559,69.26,0.6233,18204,58.48,0.3393,21886,70.31,1.6861,21433,68.86,1.6109,22611,72.64,0.3079,23176,74.46,0.1409
69,rename_method,61876,8,True,0.95,4795,7.75,0.0134,37742,61.0,0.6421,32335,52.26,0.346,37351,60.36,1.9297,36691,59.3,1.8635,38248,61.81,0.3219,39443,63.75,0.1447
70,rename_method,61876,10,True,0.95,4623,7.47,0.0136,36892,59.62,0.6559,31194,50.41,0.3471,36456,58.92,1.933,35671,57.65,1.8668,37459,60.54,0.323,38726,62.59,0.1453
71,rename_method,61876,12,True,0.95,4514,7.3,0.0136,36237,58.56,0.6534,30306,48.98,0.3437,35778,57.82,1.9087,34921,56.44,1.8461,36869,59.59,0.3209,38147,61.65,0.1442
72,rename_attribute,131891,8,False,1.0,29433,22.32,0.0081,44376,33.65,1.6204,42335,32.1,0.383,44462,33.71,3.7913,44099,33.44,14.0627,44688,33.88,0.7069,41020,31.1,0.3383
73,rename_attribute,131891,10,False,1.0,28847,21.87,0.0079,43416,32.92,1.6048,41333,31.34,0.3851,43503,32.98,3.8341,43090,32.67,13.9304,43829,33.23,0.6964,40590,30.78,0.3327
74,rename_attribute,131891,12,False,1.0,28449,21.57,0.0075,42742,32.41,1.55,40644,30.82,0.3716,42828,32.47,3.7034,42394,32.14,13.4099,43206,32.76,0.6661,39946,30.29,0.321
75,rename_attribute,131891,8,True,0.6,70344,53.33,0.0367,83987,63.68,1.6403,81717,61.96,0.496,84175,63.82,4.8249,83807,63.54,13.6515,84453,64.03,0.7081,84931,64.39,0.354
76,rename_attribute,131891,8,True,0.8,70344,53.33,0.0364,84311,63.92,1.5841,82104,62.25,0.4835,84539,64.1,4.6976,84186,63.83,13.3363,84786,64.28,0.6895,85289,64.67,0.3473
77,rename_attribute,131891,10,True,0.6,70210,53.23,0.0364,83487,63.3,1.6216,81152,61.53,0.501,83701,63.46,4.9111,83273,63.14,13.5206,84074,63.75,0.6923,84540,64.1,0.35
78,rename_attribute,131891,10,True,0.8,70210,53.23,0.0359,83833,63.56,1.5927,81556,61.84,0.497,84066,63.74,4.8849,83657,63.43,13.3437,84403,63.99,0.6836,84902,64.37,0.3449
79,rename_attribute,131891,12,True,0.6,69936,53.03,0.0328,82950,62.89,1.4808,80590,61.1,0.4812,83178,63.07,4.7488,82733,62.73,12.3256,83604,63.39,0.6294,84068,63.74,0.318
80,rename_attribute,131891,12,True,0.8,69936,53.03,0.0329,83307,63.16,1.4676,80987,61.4,0.4767,83550,63.35,4.7003,83115,63.02,12.2488,83939,63.64,0.626,84436,64.02,0.3164
81,rename_variable,57098,8,False,1.0,1878,3.29,0.0064,14352,25.14,0.3003,12122,21.23,0.1281,14052,24.61,0.3741,13545,23.72,0.4209,13893,24.33,0.1929,14797,25.92,0.0784
82,rename_variable,57098,10,False,1.0,1773,3.11,0.0064,13538,23.71,0.3046,11274,19.74,0.1271,13292,23.28,0.3719,12761,22.35,0.4197,13289,23.27,0.1911,14182,24.84,0.0777
83,rename_variable,57098,12,False,1.0,1712,3.0,0.0064,12967,22.71,0.2993,10695,18.73,0.1266,12754,22.34,0.3718,12206,21.38,0.418,12865,22.53,0.1889,13756,24.09,0.0771
84,rename_variable,57098,8,True,0.6,9027,15.81,0.0158,20976,36.74,0.3103,18720,32.79,0.1378,20814,36.45,0.3877,20263,35.49,0.4291,20662,36.19,0.2014,21521,37.69,0.0906
85,rename_variable,57098,8,True,0.8,9027,15.81,0.0157,21067,36.9,0.3107,18745,32.83,0.1367,20980,36.74,0.3849,20464,35.84,0.4267,20805,36.44,0.2008,21650,37.92,0.0881
86,rename_variable,57098,10,True,0.6,8688,15.22,0.0157,19950,34.94,0.3221,17714,31.02,0.1362,19802,34.68,0.3821,19235,33.69,0.4239,19828,34.73,0.2008,20686,36.23,0.0879
87,rename_variable,57098,10,True,0.8,8688,15.22,0.0156,20053,35.12,0.3088,17698,31.0,0.1359,19992,35.01,0.3818,19450,34.06,0.423,19984,35.0,0.2003,20830,36.48,0.0874
88,rename_variable,57098,12,True,0.6,8462,14.82,0.0158,19239,33.69,0.3115,17026,29.82,0.1368,19110,33.47,0.3839,18509,32.42,0.4243,19249,33.71,0.201,20103,35.21,0.0876
89,rename_variable,57098,12,True,0.8,8462,14.82,0.0157,19349,33.89,0.31,16995,29.76,0.1366,19297,33.8,0.3851,18713,32.77,0.4271,19385,33.95,0.2014,20231,35.43,0.0872
90,rename_class,31127,8,False,1.0,1296,4.16,0.0069,22001,70.68,0.5998,18880,60.65,0.3331,22260,71.51,1.6676,21910,70.39,1.591,22868,73.47,0.2998,23417,75.23,0.1339
91,rename_class,31127,10,False,1.0,1292,4.15,0.0071,21619,69.45,0.605,18331,58.89,0.3323,21882,70.3,1.6695,21478,69.0,1.5902,22561,72.48,0.2979,23128,74.3,0.1333
92,rename_class,31127,12,False,1.0,1288,4.14,0.007,21291,68.4,0.6025,17907,57.53,0.3314,21610,69.43,1.6604,21146,67.93,1.5866,22320,71.71,0.2938,22900,73.57,0.1327
93,rename_class,31127,8,True,0.6,2267,7.28,0.0127,22020,70.74,0.6023,18792,60.37,0.337,22156,71.18,1.6694,21795,70.02,1.601,22832,73.35,0.3075,23344,75.0,0.1402
94,rename_class,31127,8,True,0.8,2267,7.28,0.0127,22296,71.63,0.5997,19043,61.18,0.3362,22552,72.45,1.6605,22217,71.38,1.5909,23174,74.45,0.3036,23707,76.16,0.1393
95,rename_class,31127,10,True,0.6,2208,7.09,0.0128,21599,69.39,0.6049,18231,58.57,0.3352,21754,69.89,1.6608,21335,68.54,1.5939,22503,72.29,0.3026,23027,73.98,0.1391
96,rename_class,31127,10,True,0.8,2208,7.09,0.0127,21893,70.33,0.5974,18470,59.34,0.3332,22152,71.17,1.6509,21764,69.92,1.5805,22849,73.41,0.3024,23403,75.19,0.1384
97,rename_class,31127,12,True,0.6,2155,6.92,0.0129,21253,68.28,0.6023,17792,57.16,0.3356,21455,68.93,1.6588,20982,67.41,1.5878,22232,71.42,0.3002,22779,73.18,0.1379
98,rename_class,31127,12,True,0.8,2155,6.92,0.0129,21554,69.25,0.6065,18022,57.9,0.3353,21865,70.24,1.6617,21410,68.78,1.5886,22584,72.55,0.3036,23162,74.41,0.1396
99,rename_method,61876,8,False,1.0,2606,4.21,0.0069,36700,59.31,0.6231,31214,50.45,0.3351,36233,58.56,1.8838,35563,57.47,1.8249,37143,60.03,0.3077,38289,61.88,0.1376
100,rename_method,61876,10,False,1.0,2535,4.1,0.007,35857,57.95,0.6277,30108,48.66,0.3326,35360,57.15,1.8764,34563,55.86,1.8084,36363,58.77,0.3043,37611,60.78,0.1356
101,rename_method,61876,12,False,1.0,2510,4.06,0.007,35219,56.92,0.6303,29246,47.27,0.3302,34698,56.08,1.8647,33835,54.68,1.8043,35804,57.86,0.3023,37060,59.89,0.135
102,rename_method,61876,8,True,0.6,4795,7.75,0.0127,37265,60.23,0.6238,31912,51.57,0.3392,36846,59.55,1.8934,36160,58.44,1.8307,37807,61.1,0.3108,38962,62.97,0.1427
103,rename_method,61876,8,True,0.8,4795,7.75,0.0128,37720,60.96,0.6283,32136,51.94,0.3412,37391,60.43,1.8987,36700,59.31,1.8369,38271,61.85,0.3115,39453,63.76,0.1421
104,rename_method,61876,10,True,0.6,4623,7.47,0.0128,36408,58.84,0.6273,30784,49.75,0.3359,35946,58.09,1.8767,35149,56.81,1.8079,37008,59.81,0.3077,38242,61.8,0.1404
105,rename_method,61876,10,True,0.8,4623,7.47,0.0128,36859,59.57,0.623,30980,50.07,0.3363,36480,58.96,1.8797,35669,57.65,1.8104,37483,60.58,0.3085,38740,62.61,0.1409
106,rename_method,61876,12,True,0.6,4514,7.3,0.0129,35730,57.74,0.6283,29898,48.32,0.3348,35245,56.96,1.8707,34383,55.57,1.8,36402,58.83,0.3069,37642,60.83,0.1397
107,rename_method,61876,12,True,0.8,4514,7.3,0.0129,36187,58.48,0.6185,30071,48.6,0.3357,35790,57.84,1.8652,34905,56.41,1.8028,36891,59.62,0.3072,38154,61.66,0.14
108,rename_parameter,22053,2,False,1.0,376,1.7,0.0071,11521,52.24,0.3483,10319,46.79,0.1826,10982,49.8,0.5316,10944,49.63,0.5019,10182,46.17,0.2137,10626,48.18,0.0894
109,rename_parameter,22053,4,False,1.0,365,1.66,0.0066,9577,43.43,0.3448,8329,37.77,0.1764,9165,41.56,0.5205,9057,41.07,0.4912,8887,40.3,0.2075,9346,42.38,0.0905
110,rename_parameter,22053,6,False,1.0,359,1.63,0.0066,8607,39.03,0.3451,7339,33.28,0.175,8329,37.77,0.5161,8138,36.9,0.4867,8199,37.18,0.2068,8669,39.31,0.0857
111,rename_parameter,22053,8,False,1.0,357,1.62,0.0065,8035,36.43,0.3445,6748,30.6,0.1738,7803,35.38,0.514,7578,34.36,0.4858,7789,35.32,0.2064,8246,37.39,0.0852
112,rename_parameter,22053,10,False,1.0,354,1.61,0.0066,7626,34.58,0.3389,6358,28.83,0.172,7421,33.65,0.5074,7187,32.59,0.4788,7481,33.92,0.205,7956,36.08,0.0852
113,rename_parameter,22053,12,False,1.0,346,1.57,0.0066,7328,33.23,0.3413,6048,27.42,0.1724,7166,32.49,0.5069,6921,31.38,0.48,7298,33.09,0.2055,7769,35.23,0.0846
114,rename_parameter,22053,2,True,0.6,579,2.63,0.0118,11566,52.45,0.371,10370,47.02,0.1891,11078,50.23,0.5378,11030,50.02,0.5101,10261,46.53,0.2242,10693,48.49,0.0958
115,rename_parameter,22053,2,True,0.8,579,2.63,0.0117,11603,52.61,0.3518,10383,47.08,0.1842,11127,50.46,0.5343,11086,50.27,0.5092,10312,46.76,0.22,10747,48.73,0.0944
116,rename_parameter,22053,2,True,0.95,579,2.63,0.0118,11634,52.75,0.3584,10435,47.32,0.1876,11120,50.42,0.5391,11085,50.27,0.5088,10316,46.78,0.225,10754,48.76,0.0954
117,rename_parameter,22053,4,True,0.6,504,2.29,0.0113,9624,43.64,0.3619,8348,37.85,0.1821,9259,41.99,0.5273,9133,41.41,0.4992,8948,40.57,0.2153,9401,42.63,0.0925
118,rename_parameter,22053,4,True,0.8,504,2.29,0.0114,9648,43.75,0.3544,8369,37.95,0.1839,9299,42.17,0.5288,9184,41.65,0.5004,8990,40.77,0.2169,9441,42.81,0.093
119,rename_parameter,22053,4,True,0.95,504,2.29,0.0114,9684,43.91,0.3548,8415,38.16,0.1833,9297,42.16,0.5313,9182,41.64,0.4998,9004,40.83,0.2193,9456,42.88,0.0934
120,rename_parameter,22053,6,True,0.6,475,2.15,0.0114,8657,39.26,0.3507,7349,33.32,0.1795,8409,38.13,0.5211,8199,37.18,0.493,8248,37.4,0.2154,8717,39.53,0.0914
121,rename_parameter,22053,6,True,0.8,475,2.15,0.0113,8671,39.32,0.3813,7360,33.37,0.1782,8440,38.27,0.517,8241,37.37,0.4905,8292,37.6,0.2124,8758,39.71,0.0908
122,rename_parameter,22053,6,True,0.95,475,2.15,0.0113,8703,39.46,0.3495,7409,33.6,0.1801,8443,38.29,0.5207,8246,37.39,0.4938,8303,37.65,0.2134,8770,39.77,0.0908
123,rename_parameter,22053,8,True,0.6,465,2.11,0.0114,8077,36.63,0.3476,6761,30.66,0.1781,7872,35.7,0.5155,7632,34.61,0.4879,7824,35.48,0.2136,8285,37.57,0.0908
124,rename_parameter,22053,8,True,0.8,465,2.11,0.0114,8090,36.68,0.3465,6777,30.73,0.1786,7894,35.8,0.5181,7667,34.77,0.4911,7869,35.68,0.214,8316,37.71,0.0911
125,rename_parameter,22053,8,True,0.95,465,2.11,0.0115,8132,36.87,0.3501,6814,30.9,0.1792,7909,35.86,0.5179,7677,34.81,0.4905,7881,35.74,0.2129,8339,37.81,0.0907
126,rename_parameter,22053,10,True,0.6,456,2.07,0.0114,7669,34.78,0.3702,6370,28.88,0.1767,7488,33.95,0.5119,7226,32.77,0.4871,7510,34.05,0.2104,7991,36.24,0.0903
127,rename_parameter,22053,10,True,0.8,456,2.07,0.0115,7677,34.81,0.3474,6386,28.96,0.1783,7505,34.03,0.5152,7261,32.93,0.4879,7558,34.27,0.2137,8024,36.39,0.0911
128,rename_parameter,22053,10,True,0.95,456,2.07,0.0115,7721,35.01,0.3494,6426,29.14,0.179,7524,34.12,0.5194,7277,33.0,0.4917,7567,34.31,0.2114,8044,36.48,0.0904
129,rename_parameter,22053,12,True,0.6,445,2.02,0.0115,7371,33.42,0.3492,6062,27.49,0.1778,7236,32.81,0.5145,6950,31.51,0.4902,7320,33.19,0.2111,7798,35.36,0.0905
130,rename_parameter,22053,12,True,0.8,445,2.02,0.0116,7385,33.49,0.3484,6071,27.53,0.1777,7250,32.88,0.5146,6987,31.68,0.4869,7363,33.39,0.2133,7835,35.53,0.0903
131,rename_parameter,22053,12,True,0.95,445,2.02,0.0115,7419,33.64,0.3474,6114,27.72,0.1763,7265,32.94,0.5108,7007,31.77,0.4843,7376,33.45,0.2087,7853,35.61,0.0893
