	OldName	NewName	Dice	Qgram	count
1019	AgeTest	AgeIT	False	True	1
1029	AgendaIntervalCheckReportService	IntervalAgendaReportService	False	True	1
1031	AgendaProcessor	XmlSenCalProcessor	False	True	1
1032	AgendaProcessorTest	XmlSenAgenProcessorTest	True	False	1
1035	AgendaStringConverstionTest	PopupRecurrenceDescriptionTest	False	True	1
1044	AgentController	AgentManagerController	True	False	1
1066	AggregatedMethodMetaDataTest	ExecutableMetaDataTest	False	True	1
1070	AggregationDataSourcePage	DataAggregationPage	True	False	1
1087	AjaxLightWindow	LightWindow	True	False	1
1090	AjaxModalBox	ModalBox	True	False	1
1095	AjaxSeleniumConfiguration	AjaxSeleniumContext	True	False	1
1135	AllProviderReminderConfigurations	AllScheduleConfigurations	False	True	1
1136	AllProviderReminderConfigurationsIT	AllSchedulerConfigurationsIT	False	True	1
1159	AllocationExpressionBuilder	NewBuilder	True	False	1
1169	AlternateDiagnosisCrudEntity	DistrictCrudEntity	True	False	1
1183	AmbiguousName	AmbigName	True	False	1
1213	AmqpMessageRejecter	Rejecter	True	False	1
1242	AnalysisDetailsView	AnalysisDetailsEditor	False	True	1
1254	AnalysisValidation	PylonValidation	True	False	1
1309	AnimationBuilderTest2	BuildersTest	True	False	1
1342	AnnotationDescriptionRenderer	DescriptorRenderer	True	False	1
1347	AnnotationMatrix	AnnotationMatrixImpl	False	True	1
1349	AnnotationMatrixTextPersistence	AnnotationMatrixFormat	False	True	1
1350	AnnotationMatrixXmlAdapter	ConfigurationXmlAdapter	True	False	1
1357	AnnotationProcessor	_ShadowLaunchingAnnotationProcessor	True	False	1
1385	AntlrArgumentInstantiationList	AntlrArgList	True	False	1
1406	AntlrPayload	AntlrPayloadElemList	True	False	1
1430	ApexOperationStats	ApexProjectMemoizer	False	True	1
1431	ApexUnitRulesTest	CodeStyleRulesTest	False	True	1
1434	Api	JavadocApi	True	False	1
1437	ApiClient	DataSiftApiClient	True	False	1
1440	ApiComponent	ApiServiceComponent	True	False	1
1470	App2	AppSample	True	False	1
1471	App2	Project2AppSample	True	False	1
1515	Application	ExampleApplication	True	False	1
1521	ApplicationConfiguration	CassandraConfiguration	True	False	1
1526	ApplicationDomainConfiguration	PersistenceConfiguration	False	True	1
1603	ArchetypeCatalogsTest	RemoteCatalogArchetypeDataSourceTest	True	False	1
1609	Architecture	Arch	True	False	1
1634	AreaMessage	AreaChat	False	True	1
1667	Argument_synthesis	synthesizes_argument_when_there_is_none_available	True	False	1
1696	ArrayListInvocationHandler	ListHandler	True	False	1
1708	ArrayUtilsTest	ArraysTest	False	True	1
1729	ArtifactDerivation	InstanceDerivation	False	True	1
1755	AsmBytecode	AsmConverter	False	True	1
1777	AssertedChallengePropertiesEditionPartForm	NotesPropertiesEditionPartImpl	True	False	1
1785	AssessmentCandidateService	CandidateItemDeliveryService	True	False	1
1786	AssessmentDeliveryDao	ItemDeliveryDao	True	False	1
