new_var_10	10	<com.matt_richardson.gocd.websocket_notifier.PluginConfig: boolean isHostSet()>/$stack3	new_var_11	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void initializeGoApplicationAccessor(com.thoughtworks.go.plugin.api.GoApplicationAccessor)>
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void initializeGoApplicationAccessor(com.thoughtworks.go.plugin.api.GoApplicationAccessor)>/write-field-pipelineListener/0	46	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void initializeGoApplicationAccessor(com.thoughtworks.go.plugin.api.GoApplicationAccessor)>/$stack22	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener pipelineListener>	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void initializeGoApplicationAccessor(com.thoughtworks.go.plugin.api.GoApplicationAccessor)>
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <clinit>()>/write-field-LOGGER/0	2	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <clinit>()>/$stack0	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.thoughtworks.go.plugin.api.logging.Logger LOGGER>	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <clinit>()>
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <clinit>()>/write-field-goSupportedVersions/0	7	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <clinit>()>/$stack2	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: java.util.List goSupportedVersions>	<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <clinit>()>
